token,count
IES ENTRED IN BEDFORD,1
IN MECKLINGBURG,1
IN MECKLINBURG,1
WN TWENTY IN CAROLINE,1
ONE ACRE IN DINWIDDIE,1
IN PITTSYL,1
IN PITTYSLVANIA,1
ENTUCKEY IN JEFFERSON,1
TTLEMENT IN JEFFERSON,1
ACS IN SURRY,1
ACS IN JEFFERSON,1
OF SETTLEMENT IN OHIO,1
KENTUCKY IN KENTUCKY,1
IN MECKLENBURGH,1
WARRANT IN JEFFERSON,1
ACS IN LUNENBURGH,1
THE WHOLE IN AUGUSTA,1
